loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
13.743754577636718,53.65808868408203,7.600000000000001e-06,0.08,20,,,,,,,,,
10.755221557617187,44.43193817138672,1.56e-05,0.16,40,,,,,,,,,
10.492274475097656,33.296390533447266,2.3599999999999998e-05,0.24,60,,,,,,,,,
9.841410064697266,36.38276672363281,2.9997400673093517e-05,0.32,80,,,,,,,,,
9.974391174316406,38.528846740722656,2.9906518787408948e-05,0.4,100,,,,,,,,,
9.727112579345704,31.72989845275879,2.968657002069774e-05,0.48,120,,,,,,,,,
9.879640197753906,36.31390380859375,2.9339458781474723e-05,0.56,140,,,,,,,,,
9.82132797241211,29.68149757385254,2.88681905041847e-05,0.64,160,,,,,,,,,
9.824391174316407,43.06351089477539,2.827684562689265e-05,0.72,180,,,,,,,,,
9.461715698242188,36.56810760498047,2.757054426114251e-05,0.8,200,,,,,,,,,
9.904141998291015,33.774269104003906,2.6755401859887598e-05,0.88,220,,,,,,,,,
9.822933197021484,31.202228546142578,2.583847626733842e-05,0.96,240,,,,,,,,,
,,,1.0,250,2.030775785446167,2.4249,82.476,41.238,,,,,
9.502725982666016,30.634233474731445,2.4827706609192376e-05,1.04,260,,,,,,,,,
8.768767547607421,53.72579574584961,2.3731844552359342e-05,1.12,280,,,,,,,,,
8.284896850585938,37.18740463256836,2.256037852936525e-05,1.2,300,,,,,,,,,
8.566968536376953,33.35593795776367,2.132345158353047e-05,1.28,320,,,,,,,,,
8.554644012451172,31.887969970703125,2.0031773546253828e-05,1.3599999999999999,340,,,,,,,,,
8.29326934814453,36.450191497802734,1.8696528306808167e-05,1.44,360,,,,,,,,,
8.10528335571289,32.763614654541016,1.7329276977544314e-05,1.52,380,,,,,,,,,
8.475640869140625,40.12862014770508,1.5941857792939702e-05,1.6,400,,,,,,,,,
8.409508514404298,31.16859245300293,1.454628360920759e-05,1.6800000000000002,420,,,,,,,,,
7.9750518798828125,40.61410140991211,1.3154637891958195e-05,1.76,440,,,,,,,,,
8.34308090209961,33.34715270996094,1.1778970092494051e-05,1.8399999999999999,460,,,,,,,,,
8.024186706542968,30.81183433532715,1.0431191318615581e-05,1.92,480,,,,,,,,,
8.281178283691407,34.884281158447266,9.122971203262523e-06,2.0,500,,,,,,,,,
,,,2.0,500,2.0125534534454346,2.1014,95.173,47.587,,,,,
7.404031372070312,99.58655548095703,7.865636863945869e-06,2.08,520,,,,,,,,,
7.471429443359375,32.280975341796875,6.670074827821819e-06,2.16,540,,,,,,,,,
7.3417213439941404,32.13578796386719,5.546636771581403e-06,2.24,560,,,,,,,,,
7.279218292236328,39.75785827636719,4.505049892299517e-06,2.32,580,,,,,,,,,
7.47705307006836,44.117610931396484,3.5543326852898232e-06,2.4,600,,,,,,,,,
7.268756103515625,29.027217864990234,2.7027168581962706e-06,2.48,620,,,,,,,,,
7.253819274902344,38.895896911621094,1.957576057421715e-06,2.56,640,,,,,,,,,
7.051561737060547,32.686920166015625,1.3253620240100106e-06,2.64,660,,,,,,,,,
7.1122894287109375,34.97517776489258,8.115487317706944e-07,2.7199999999999998,680,,,,,,,,,
7.498026275634766,32.267642974853516,4.205849913218074e-07,2.8,700,,,,,,,,,
7.513008117675781,36.850528717041016,1.5585593042482138e-07,2.88,720,,,,,,,,,
7.380235290527343,35.63882827758789,1.9653684131145655e-08,2.96,740,,,,,,,,,
,,,3.0,750,2.0231668949127197,2.0397,98.055,49.027,,,,,
,,,3.0,750,,,,,176.2103,34.05,4.256,1570719224954880.0,8.656679524739584
